,PESR012 - Relatorio Geral de Pessoa,,,,,,,,,,,,,,
3835,FORTIS CONSULTORIA AMBIENTAL LTDA,J,"RUA PROFESSOR JOAO CALIXTO DE ASSUNCAO,174",LUZ / MG,3791194433,21.578.135/0001-09,ISENTO,,CENTRO,,35595000,Ativo / Ativo,suportedbe@outlook.com,,
3836,GRUPO CASAS BAHIA S.A.,J,"AV VISCONDE DE IBITURUNA,76",BELO HORIZONTE / MG,313621246,33.041.260/0363-55,623376763860,,BARREIRO BAIXO,,30640080,Ativo / Ativo,lcelso@pontofrio.com.br,,
3837,FITOPECUARIA LTDA,J,"R TENENTE-CORONEL ROBERTO,96",PARA DE MINAS / MG,3732323433,66.358.839/0001-04,4717780480093,,CENTRO,,35660011,Ativo / Ativo,serconta@nwm.com.br,,
3838,HOTELARIA BRASIL LTDA,J,"SHS QUADRA 4 BLOCO A,",BRASILIA / DF,1145712150,04.463.276/0029-68,ISENTO,,ASA SUL,BLOCO A-PARTE HOTEL,70322909,Ativo / Ativo,contato@hotelariabrasil.com.br,,
3839,AVIMOR COMERCIO DE TECIDOS LTDA,J,"R ALM BARROSO,550",SAO PAULO / SP,1126972888,15.358.825/0003-11,129850500112,,BRAS,,3025001,Ativo / Ativo,contato@avimortecidos.com.br,,
3840,HILDEBRANDO TEIXEIRA DE TOLEDO,J,"AV AVENIDA BARAO HOMEM DE MELO - DE 432 A 1164 - LADO PAR,890",BELO HORIZONTE / MG,3125154071,07.449.455/0001-38,ISENTO,,JARDIM AMERICA,LETRA A,30421360,Ativo / Ativo,audiconcont@bol.com.br,,
3841,DILMA DE OLIVEIRA DAMASCENO ARARUNA 95419330687,J,"R VINTE E UM,205",CONTAGEM / MG,31987231352,40.107.394/0001-04,39211350077,,ARVOREDO II,,32113543,Ativo / Ativo,dilmadamasceno@hotmail.com,,
3842,PEREIRA E PEREIRA CONFECCOES LTDA,J,"RUA DE ACESSO HONORIO DE PAULA RIBEIRO,1565",COSMORAMA / SP,1738361130,01.791.350/0001-86,277004466113,,CENTRO,,15530000,Ativo / Inativo,sac@camisariaabsolute.com.br,,
3843,GUIMARAES ATELIER LTDA,J,"R CARLOS CAMPOS MOTTA,123",BELO HORIZONTE / MG,3132712115,04.092.772/0001-51,621033400016,,ITATIAIA,CASA A,31360660,Ativo / Ativo,gemcontabil@hotmail.com,,
3845,POWER LABEL GRAFICA DIGITAL LTDA.,J,"R KERBAN,83",NOVA LIMA / MG,3131414000,38.478.971/0001-14,38411610004,,JARDIM CANADA,SALA 1,34007676,Ativo / Ativo,financeiro@powerlabeldigital.com.br,,
3846,DIVINA NOITE IND E COM DE CONFECCOES LTDA,J,"R BENJAMIN GERLACH,899",SAO JOSE / SC,4830346166,10.792.292/0001-04,255880537,,FAZENDA SANTO ANTONIO,SALA  01,88104400,Ativo / Inativo,g i l b e r t o @ d i v i n a n o i t e . c o m . b r,,
3847,BELO HORIZONTE ADMINISTRACAO DE HOTEIS LTDA,J,"AV OLEGARIO MACIEL,1748",BELO HORIZONTE / MG,3137216955,34.923.751/0002-82,35486690169,,SANTO AGOSTINHO,TERREO,30180119,Ativo / Ativo,luccasperancini@sanegocios.com.br,,
3850,LEGIONAIRE COMERCIO DE ROUPAS LTDA,J,"AV MANOEL TELLES,77",DUQUE DE CAXIAS / RJ,21981540044,09.194.904/0001-70,78432039,,CENTRO,LOJA,25010090,Ativo / Ativo,flavio@lojascunha.com.br,,
3851,GRUPO CASAS BAHIA S.A.,J,"V VEREADOR JOAQUIM COSTA,2000",CONTAGEM / MG,1142256555,33.041.260/1315-01,20502700068,,CAMPINA VERDE,,32150240,Ativo / Ativo,setorfiscal.csc@viavarejo.com.br,,
3852,RODOBENS COMERCIO E LOCACAO DE VEICULOS LTDA.,J,"AV AVENIDA RAJA GABAGLIA - DE 2000 A 2900 - LADO PAR,2226",BELO HORIZONTE / MG,3121028400,65.993.453/0039-84,24422490150,,ESTORIL,,30494170,Ativo / Ativo,fiscal@rodobens.com.br,,
3853,CAMISARIA CARIOCA LTDA,J,"R CALIFORNIA,376",RIO DE JANEIRO / RJ,2138849788,30.880.006/0001-61,11230601,,PENHA,GALPAO 1 PAV,21021150,Ativo / Ativo,contato@rrycontabil.com.br,,
3854,JEAN PAULO FELIPE 11880075644,J,"R HAVANA,660",DIVINOPOLIS / MG,37988036171,38.003.684/0001-58,38032800042,,SANTA ROSA,,35500536,Ativo / Inativo,fjeanpaulo@gmail.com,,
3855,GABVA IND E COM DE CONFECCOES LTDA,J,"RUA URUGUAIANA,563",AMPERE / PR,4635471668,52.550.889/0001-84,9103298803,,CENTRO,SALA  FRENTE,85640000,Ativo / Inativo,jose.ods@hotmail.com,,
3856,MATTOS CONFECCOES DE MURIAE LTDA,J,"R MIRAI,79",MURIAE / MG,3237214155,51.134.899/0001-76,46459460019,,SANTA TEREZINHA,,36889277,Ativo / Inativo,mattosconfeccoesmuriae@gmail.com,,
3857,JACKSON MEDEIROS DANTAS,J,"RUA DR. JOSE AUGUSTO,313",ACARI / RN,8494813712,40.274.937/0001-70,205625975,,TARCISIO BEZERRA GALVAO,,59370000,Ativo / Inativo,dommervendas@gmail.com,,
3858,MARCIA AVIAMENTOS LTDA,J,"RUA DUQUE DE CAXIAS,115",ICARA / SC,48998413171,79.407.292/0001-31,251355977,,CENTRO,,88820000,Ativo / Inativo,lojamarciaaviamentos@gmail.com,,
3859,CLAUDIO TRANSPORTES LTDA,J,"AV GUINLE,28",GUARULHOS / SP,1124462477,14.288.580/0004-11,127928609110,,CIDADE INDUSTRIAL SATELITE DE SAO PAULO,,7221070,Ativo / Ativo,rodrigo@claudiotransporte.com.br,,
3860,JOUER INDUSTRIA E COMERCIO DE ROUPAS LTDA,J,"R JOAQUIM FLORIANO,111",SAO PAULO / SP,1136581800,18.540.613/0001-87,142614977111,,ITAIM BIBI,CASA  FUNDOS,4534010,Ativo / Inativo,contato@jouer.com.br,,
3861,SOARES E SOARES CONFECCOES LTDA,J,"RUA OSORIO RIBEIRO,289",NEPOMUCENO / MG,35998241301,13.035.938/0001-99,17111250044,,ENSEADA,,37250000,Ativo / Ativo,soaresconf@gmail.com,,
3862,GRAFICA BARREIRO LTDA,J,"R BARAO DE COROMANDEL,384",BELO HORIZONTE / MG,3125158124,07.566.447/0001-71,624303990018,,BARREIRO,A,30640060,Ativo / Ativo,graficabarreiro@hotmail.com,,
3863,HURY COM CONF E REPRESENTACOES LTDA,J,"R EZEQUIEL ANACLETO CARDOSO,175",GASPAR / SC,4733320566,81.796.005/0001-74,252045491,,FIGUEIRA,,89110528,Ativo / Inativo,financeiro@hury.com.br,,
3865,1001 INDUSTRIA DE ARTEFATOS DE BORRACHA LTDA,J,"AV LINO ANTONIO NOGUEIRA,832",GUARULHOS / SP,1124759299,61.508.537/0003-13,336097451111,,JD SANTA FRANCISCA,,7024030,Ativo / Ativo,josue@1001industria.com.br,,
3866,SCHIAVON E MORAIS LTDA,J,"R CUIABA,320",LONDRINA / PR,4333232823,81.117.368/0001-36,6011987620,,CENTRO,,86026060,Ativo / Inativo,financeiro01@condanys.com.br,,
3867,EDILSON FERREIRA DA SILVA,F,"AV AVENIDA BARAO HOMEM DE MELO,1275",BELO HORIZONTE / MG,3132862853,028.064.186-90,M000000,,NOVA GRANADA,,30431327,Ativo / Ativo,administrativo@designtextecidos.com.br,,
3868,FIEL IMPLEMENTOS RODOVIARIOS E COMERCIO DE PECAS LTDA,J,"R EMERECIANA BATISTA CAMARGOS,206",BELO HORIZONTE / MG,3133882412,03.676.593/0001-07,620752200096,,CALIFORNIA,GALPAO,30855030,Ativo / Ativo,fielimplementos@gmail.com,,
3869,STREET FAC LTDA,J,"RUA LUIZ DE ABREU MOREIRA,75",GUARANI / MG,3235752251,03.181.183/0001-87,2840298470080,,SOSSEGO,,36160000,Ativo / Ativo,contato@eject.com.br,,
3870,ACS INDUSTRIA E COMERCIO DE VESTUARIO LTDA,J,"R JOAO PESSOA,2801",BLUMENAU / SC,4799696945,52.921.247/0001-44,262638746,,VELHA,APT   504                 SALA  1,89036255,Ativo / Ativo,nfe@vistahappy.com.br,,
3871,TDA SERVICOS DE APOIO LTDA,J,"R ZICO ALEXANDRE,149",PARA DE MINAS / MG,37998297206,51.404.942/0001-76,ISENTO,,PADRE LIBERIO,,35660435,Ativo / Ativo,contabil@rumocontabilidadeadm.com.br,,
3872,DIEGO MARLON DOS SANTOS 09164891674,J,"R EPAMINONDAS MARINHO,544",PARA DE MINAS / MG,37999664578,34.025.030/0001-74,34774700061,,SAO PEDRO,,35660223,Ativo / Ativo,liderpneumatica2022@gmail.com,,
3873,COMERCIAL JPS LTDA,J,"R NAIR GUIMARAES FERREIRA,287",PARA DE MINAS / MG,3732364250,10.848.982/0001-20,11868520099,,RECANTO DA LAGOA,,35661074,Ativo / Ativo,comercialjpsltda@yahoo.com.br,,
3874,GRUPO CASAS BAHIA S.A.,J,"V VEREADOR JOAQUIM COSTA,2000",CONTAGEM / MG,3132995900,33.041.260/0762-25,623376769078,,CAMPINA VERDE,BP P2,32150240,Ativo / Ativo,setorfiscal.csc@viavarejo.com.br,,
3876,VRASALON INDUSTRIA E COMERCIO LTDA,J,"R DR SILVA LEME,83",SAO PAULO / SP,1122919788,62.189.196/0001-61,104973741118,,BRAS,,3047020,Ativo / Ativo,vrasalon@vrasalon.com.br,,
3877,TINTAS VALLE LTDA,J,"AV AVENIDA BARAO HOMEM DE MELO,1823",BELO HORIZONTE / MG,3133733753,20.083.366/0013-12,624409481281,,ESTORIL,,30494085,Ativo / Ativo,contabilidadewalter@gmail.com,,
3878,OTTOBONI E DEMONICO LTDA,J,"RUA PERNAMBUCO,627",MONTE APRAZIVEL / SP,17997917071,15.351.218/0001-68,462019065115,,VILA APARECIDA,,15150000,Ativo / Inativo,brunaleticiafabrica.23@gmail.com,,
3879,FAUNA COMPANY LTDA,J,"R ZAMA ALVES,420",PATOS DE MINAS / MG,34991774974,39.505.966/0001-16,38738540010,,LAGOINHA,,38701018,Ativo / Ativo,otaviocastrofauna@gmail.com,,
3881,M MARTINS DOS SANTOS CONFECCOES LTDA,J,"AV JK,232",JARAGUA / GO,6286053396,21.378.585/0001-58,106336665,,JARDIM AEROPORTO,QUADRA 06                LOTE  03,76330000,Ativo / Ativo,mayaraperolla1805@gmail.com,,
3882,STUDIO 40 IND E COM DE VESTUARIO LTDA,J,"RUA DIMER PIZZETTI,426",ICARA / SC,1129011933,12.630.359/0005-55,261181955,,PRESIDENTE VARGAS,,88820000,Ativo / Ativo,compras@studio40.ind.br,,
3883,TRANSPORTADORA BOM JESUS LTDA,J,"R ALEXANIA,847",GUARULHOS / SP,1124464443,70.033.451/0002-91,336808065115,,CID IND SATELITE SP,,7232010,Ativo / Ativo,trans@bomjesus.com.br,,
3884,HERMINIA A C MODA INFANTIL LTDA,J,"RUA RAIMUNDO VALERIO DOS SANTOS,7",PINDORETAMA / CE,85999330383,11.189.350/0001-64,70412197,,CAPIM DE ROCA,GALPAOGALPAO,62860000,Ativo / Ativo,tayana_ac@hotmail.com,,
3885,ATUACAO CAMISARIA LTDA,J,"RUA HERCULES GIBERTONI,80",TAQUARITINGA / SP,1632524477,31.028.177/0001-20,684084109114,,PARQUE RES. LARANJEIRAS II,,15900000,Ativo / Inativo,maristelabussadori@hotmail.com,,
3886,TECIDOS E ARMARINHOS MIGUEL BARTOLOMEU SA,J,"ROD BR-040, KM 688,",CONTAGEM / MG,3133940104,17.359.233/0012-30,1860057420575,,KENNEDY,PAV 12,32145900,Ativo / Ativo,contabilidade@tambasa.com.br,,
3889,MARIA DA CONCEICAO FERN RODOVALHO LTDA,J,"R CESAR LEITE,19",MOSSORO / RN,84999263915,33.150.097/0001-78,205127363,,NOVA BETANIA,SALA  A,59612040,Ativo / Inativo,rodovalho@live.com,,
3890,ALMEIDA E FEITOSA TECIDOS LTDA,J,"R BELO HORIZONTE,250",GOVERNADOR VALADARES / MG,33988095907,46.633.117/0001-03,43565110023,,CENTRO,,35010050,Ativo / Inativo,robsonfquintao@gmail.com,,
3892,TRANSPORTES TRANSLOVATO LTDA,J,"R MANOEL BECKMAN,1180",UBERLANDIA / MG,3132443153,89.823.918/0021-98,11508140359,,GLEBAS,BRCAO 10 E 11,38402186,Ativo / Ativo,translovato@translovato.com.br,,
3893,LUZIA PANCIERA MENDES 00522814859,J,"R JOSE MUSEGANTE,734",SAO JOSE DO RIO PRETO / SP,1732124038,11.906.086/0001-32,647586372115,,JARDIM URANO,,15084250,Ativo / Inativo,betozaguini@hotmail.com,,
3895,AUTOMAX COMERCIAL LTDA,J,"AV RAJA GABAGLIA,2222",BELO HORIZONTE / MG,3132990000,20.994.976/0001-34,622719680051,,ESTORIL,,30350540,Ativo / Ativo,faleconosco@grupoautomax.com.br,,
3896,AGENOR FORMIGONI MAZZER E CIA LTDA,J,"RUA DEOLINDA MAZZUCATTO,73",TIETE / SP,1532822072,43.662.063/0001-16,692007313112,,VILA JUSTINA,,18530000,Ativo / Ativo,compras@gruposonia.com.br,,
3897,VIGAT CONFECCOES INFANTIS LTDA,J,"RUA CEZARIO CARDOSO DE ALMEIDA,156",TIETE / SP,1532853557,04.267.011/0001-93,692092481116,,VILA JUSTINA,,18530000,Ativo / Ativo,nfe@vigatconfeccoes.com.br,,
3898,PAULO SERGIO M DE OLIVEIRA,J,"RUA JAIME SALES,185",SAO JOSE DE MIPIBU / RN,84994247094,20.674.516/0001-29,204123470,,CENTRO,A,59162000,Ativo / Inativo,administrativo@ocker.com.br,,
3899,PAULO SERGIO M DE OLIVEIRA,J,"RUA DONA EMILIA,98",MACAIBA / RN,84994247094,20.674.516/0002-00,204490332,,CENTRO,,59280000,Ativo / Ativo,administrativo@ocker.com.br,,
3900,ENZ IND E COM DE CONFECCOES LTDA,J,"R GENERAL OSORIO,4584",BLUMENAU / SC,51999758080,32.535.222/0001-03,258975741,,SALTO WEISSBACH,GALPAO 10 TERREO          COMPL. IND. IBIZA,89032240,Ativo / Inativo,financeiro@enzomilano.com.br,,
3903,CARLA MARIBEL DA SILVA 69640459020,J,"R ADALBERTO MOOJEN,152",MONTENEGRO / RS,51999069725,40.029.851/0001-81,ISENTO,,SAO PAULO,,92519515,Ativo / Ativo,carladesign1977@gmail.com,,
3904,METALMAR LTDA,J,"R OURO PRETO,26",BELO HORIZONTE / MG,3132710344,17.322.652/0001-45,623550540034,,BARRO PRETO,,30170040,Ativo / Ativo,metalmar@gmail.com,,
3905,MINAS FILTROS LTDA,J,"R DO ROSARIO,41",PARA DE MINAS / MG,3732312238,10.408.272/0001-89,10947950010,,CENTRO,,35660032,Ativo / Ativo,julio@preconta.com.br,,
3906,SISNANDO LUIZ DE LUCA NETO,J,"RUA RUA RIO GRANDE DO SUL,190",TIETE / SP,15991311551,15.808.095/0005-75,692072913114,,JARDIM BONANZA,,18530000,Ativo / Ativo,fiscal@operakids.com.br,,
3908,V2 INDUSTRIA E COMERCIO TEXTIL LTDA,J,"ROD BR 470,475",INDAIAL / SC,4733014757,53.012.253/0001-41,262650371,,DAS NACOES,,89082080,Ativo / Ativo,fiscal@classetextil.com.br,,
3909,ESTOK COMERCIO E REPRESENTACOES S.A.,J,"RUA VARGEM DO JOAO PINTO,450",EXTREMA / MG,1121868600,49.732.175/0094-81,628833900770,,DA PONTE NOVA,GALPAO 2,37640000,Ativo / Ativo,fiscal@tokstok.com.br,,
3910,ESTOK DISTRIBUIDORA E SERVICOS S.A,J,"ROD BR-356,2500",BELO HORIZONTE / MG,1121868578,34.225.363/0060-05,36606830680,,BELVEDERE,KM 449 ANEXO PARTE 2,30320055,Ativo / Ativo,fiscal@tokstok.com.br,,
3911,A. SOARES CONFECCAO,J,"R JOAO TEODORO,1365",SAO PAULO / SP,11965782134,48.371.043/0001-00,138507691119,,BRAS,BOX   C 14 15,3009000,Ativo / Ativo,alexandresoares8731@gmail.com,,
3912,ROMILDA DUARTE ROCHA,J,"R RAIMUNDO DUQUE DE ALMEIDA,155",PARA DE MINAS / MG,37999321175,10.441.128/0001-44,10972860088,,GRAO PARA,PADARIA,35660256,Ativo / Ativo,padariapaesecia@gmail.com,,
3913,ALMEIDA E CIA LTDA,J,"AV MARECHAL FLORIANO PEIXOTO,2250",CAMPINA GRANDE / PB,83991908539,01.132.047/0001-71,161116370,,SANTA ROSA,GALPAOO,58416440,Ativo / Inativo,produtos@rutra.com.br,,
3914,GRUPO CASAS BAHIA S.A.,J,"AV AUTOMOVEL CLUBE,7453",DUQUE DE CAXIAS / RJ,1142256555,33.041.260/0486-04,77617566,,VILA SANTA CRUZ,,25255030,Ativo / Ativo,setorfiscal.csc@viavarejo.com.br,,
3915,COMERCIO DE CONFECCOES COSTANUNES LTDA,J,"R JOAO FERNANDES LIMA,138",TUBARAO / SC,4836286740,06.149.293/0001-50,254733166,,VILA ESPERANCA,SALA  02,88708300,Ativo / Ativo,fabricaviasoreto@hotmail.com,,
3916,LOOK CONFECCOES E MODAS CERQUILHO LTDA.,J,"R LAERCIO MARSON,99",CERQUILHO / SP,1532884444,03.142.911/0001-41,265020684115,,PORTAL DOS PILARES,,18525004,Ativo / Ativo,compras@lookjeans.com.br,,
3917,INDUSTRIA E COMERCIO DE MOVEIS HENN LTDA,J,"RUA ALEGRE,812",MONDAI / SC,4936743500,85.355.592/0001-17,252507592,,IPANEMA,,89893000,Ativo / Ativo,ingo@henn.com.br,,
3918,GENIALFLEX MOVEIS LTDA,J,"ROD ROD RST 470,",GARIBALDI / RS,5434638105,06.069.554/0001-21,500069069,,GARIBALDINA,KM 223,95720000,Ativo / Ativo,financeiro@genialflex.com.br,,
3920,POLITORNO MOVEIS LTDA,J,"R ROD BR 470,",BENTO GONCALVES / RS,5434581300,90.236.621/0001-61,100031269,,TUIUTY,"KM 203,3 PROXIMO AO TREVO",95709000,Ativo / Ativo,politorno@gmail.com,,
3921,PIZATTO & CIA LTDA,J,"AV PEDERNEIRAS,163",DOIS CORREGOS / SP,1436522340,44.519.650/0001-13,289002783115,,JARDIM PAULISTA,,17307050,Ativo / Ativo,contato@escritoriolucato.com.br,,
3922,IDEAL EXPRESS TRANSPORTES E LOGISTICA LTDA,J,"RUA ALAMEDA PADRE MIGUEL,215",VARGEM GRANDE PAULISTA / SP,1158423601,21.297.508/0002-54,720087074117,,MARACANDUVA,ANDAR 1,6730000,Ativo / Ativo,sac@idealentregas.com.br,,
3923,MUG CONFECCOES LTDA,J,"AV PRESIDENTE VARGAS,265",BATATAIS / SP,1637610029,08.936.466/0001-05,208111772112,,DISTRITO INDUSTRIAL,,14300001,Ativo / Ativo,danfe@mugconfeccoes.com.br,,
3924,SOFT PURIFICADORES BH LTDA,J,"AV NOSSA SENHORA DO CARMO,1650",BELO HORIZONTE / MG,3130728668,49.824.420/0001-81,45628460028,,CARMO,LOJA 04,30330000,Ativo / Ativo,comercial@casadospurificadores.com.br,,
3925,CASA E CORTINA LTDA,J,"R DOS GOITACAZES,928",BELO HORIZONTE / MG,3132014800,41.114.889/0001-15,39912320077,,CENTRO,,30190051,Ativo / Ativo,contato@marcelusdecoracao.com,,
3926,ORGANIZACAO VERDEMAR LTDA,J,"AV AVENIDA RAJA GABAGLIA - DE 2902 A 4040 - LADO PAR,",BELO HORIZONTE / MG,3132862997,65.124.307/0008-16,627053960705,,ESTORIL,3600,30494310,Ativo / Ativo,nfe@superverdemar.com.br,,
3927,THALLES TADEU LOPES PEREIRA,J,"R AVELINO HILARIO MUNIZ,918",CONTAGEM / MG,31997825568,12.157.956/0001-80,16228050095,,NOSSA SENHORA DA CONCEICAO,CASA 03,32183455,Ativo / Ativo,ttseg@outlook.com.br,,
3928,JL. LOANDA COMERCIO VAREJISTA LTDA,J,"AV PARANA,4520",UMUARAMA / PR,44999861295,53.266.487/0001-15,9104450730,,ZONA I,,87501030,Ativo / Ativo,jl.loanda@gmail.com,,
3930,ACRILDAM IND E COM DE ARTEFATOS DE ACRILICO LTDA,J,"R ITAPETINGA,466",BELO HORIZONTE / MG,3134420211,19.173.186/0001-09,621831070072,,CACHOEIRINHA,,31130100,Ativo / Ativo,acrilidam@gmail.com,,
3933,PINHEIRO E ROCHA COM E CONFECCOES LTDA,J,"R JOAO TEODORO,1200",SAO PAULO / SP,11966189090,37.437.014/0001-87,129095065116,,BRAS,LOJA  124 S,3009000,Ativo / Bloqueado,contato@divinacostura.com.br,,
3934,ARTEFATOS DE PAPEL LUCRI LTDA,J,"R ARAGUARI,184",BELO HORIZONTE / MG,3121290070,17.183.484/0001-54,620002140020,,BARRO PRETO,,30190110,Ativo / Ativo,lucri@lucri.com.br,,
3936,53.486.729 WELLINGTON DE ALMEIDA ARAUJO,J,"R FRANCISCO PEIXOTO BIZERRA,846",SAO PAULO / SP,11984602593,53.486.729/0001-86,132808653114,,JARDIM BRASIL (ZONA NORTE),,2222010,Ativo / Bloqueado,wellingtondeaalmeida@hotmail.com,,
3937,CONFECCOES DI SELEN S.A.,J,"R CANDIDO PINHEIRO DE BARCELLOS (DISTRITO INDUSTRIAL,170",ALVORADA / RS,5199869675,93.936.987/0001-31,1650178015,,TIJUCA,DISTRITO INDUSTRIAL,94836193,Ativo / Ativo,renata@diselen.com.br,,
3938,PREFEITURA MUNICIPAL DE BETIM,J,"R PARA DE MINAS,640",BETIM / MG,3135123423,18.715.391/0001-96,ISENTO,,BRASILEIA,,32600412,Ativo / Ativo,secfaz@betim.mg.gov.br,,
3939,MM INDUSTRIA E COMERCIO LTDA,J,"R SAO PAULO,1020",DIVINOPOLIS / MG,3731121534,29.998.384/0001-65,31560870060,,CENTRO,,35500006,Ativo / Inativo,planejamento@urbostore.com.br,,
3941,30.556.300 ALINE DE ALMEIDA ALVES,J,"TV DIOGO MELGAZ,6",SAO PAULO / SP,1132287306,30.556.300/0001-12,119498167119,,JARDIM BRASIL (ZONA NORTE),CASA A,2225100,Ativo / Inativo,aline_gu@yahoo.com.br,,
3942,BURITIS ASSISTENCIA TECNICA LTDA,J,"AV PROFESSOR MARIO WERNECK,3276",BELO HORIZONTE / MG,3196954521,41.677.271/0001-63,40288250044,,BURITIS,LOJA 02,30575180,Ativo / Ativo,buritisassistencia@gmail.com,,
3943,TECH PRESS ARTES GRAFICAS LTDA,J,"R GRAO PARA,982",BELO HORIZONTE / MG,3132218300,01.640.334/0001-92,26996770092,,FUNCIONARIOS,LOJA 02,30150348,Ativo / Ativo,fiscalmiranda@yahoo.com.br,,
3944,CASALAB COM.  ATAC. DE EQUIP. E SUPR. LABORATORIAIS LTDA,J,"R BRASILIA,272",BELO HORIZONTE / MG,3134136346,10.843.341/0001-82,11824450060,,CARLOS PRATES,,30710270,Ativo / Ativo,casalab@casalab.com.br,,
3945,CST - CENTRAL DE SOLUCOES TEXTEIS LTDA,J,"R GENERAL OSORIO,446",BLUMENAU / SC,4733222163,20.777.709/0001-05,ISENTO,,VELHA,,89041000,Ativo / Ativo,fiscal@contabilidadelopes.com.br,,
3947,L ORSA MODAS E CONFECCOES LTDA,J,"R CUIABA,101",SAO PAULO / SP,1138838037,46.046.876/0001-70,110468502111,,ALTO DA MOOCA,121,3183001,Ativo / Ativo,ana.elisa@lorsa.com.br,,
3948,BETANIA PARK PRESENTES LTDA,J,"R URSULA PAULINO,1321",BELO HORIZONTE / MG,3132743232,52.339.711/0001-99,47248940070,,BETANIA,LOJA 10,30580353,Ativo / Ativo,geral@geralcontabilidade.com.br,,
3950,B CIRILO ALBINO E CIA LTDA,J,"R JOAO JOCA ASSUNCAO,537",TIMON / MA,8631334000,63.347.397/0026-60,126518912,,PARQUE PIAUI,,65631080,Ativo / Ativo,noroeste@lojasnoroeste.com.br,,
3951,C2W GESTAO DE NEGOCIOS LTDA,J,"R ENGENHEIRO AMARO LANARI,171",BELO HORIZONTE / MG,31997758851,20.986.086/0001-80,ISENTO,,ANCHIETA,SALA,30310580,Ativo / Ativo,processos@wtrindade.com.br,,
3952,SA CHAVES CONFECCAO LTDA,J,"AV DO CONTORNO,9317",BELO HORIZONTE / MG,3134975900,24.889.132/0001-84,27677420087,,PRADO,LETRA A,30110063,Ativo / Ativo,bebecombaunilha@gmail.com,,
3953,PARA BORRACHA LTDA,J,"R PEQUI,1045",PARA DE MINAS / MG,3732313710,01.533.634/0001-72,4711860250030,,PADRE LIBERIO,,35660971,Ativo / Ativo,mmj@mmj.com.br,,
3954,CLARO NXT TELECOMUNICACOES S/A,J,"R ESPIRITO SANTO,1000",BELO HORIZONTE / MG,1143134620,66.970.229/0021-00,629563630199,,CENTRO,ANDAR 2 SALA PARTE,30160033,Ativo / Ativo,atendimento.fiscalizacoes@claro.com.br,,
3955,34.717.040 ANA BEATRIZ MARQUES PESSOA,J,"R CAMBURIU,651",SAO PAULO / SP,1163430353,34.717.040/0001-70,126669112113,,VILA IPOJUCA,APT 102,5058020,Ativo / Inativo,biipessoa@hotmail.com,,
3956,RAIMUNDA NONATA DA CUNHA MUSTAPHA JEANS,J,"R CASIMIRO DE ABREU,679",SAO PAULO / SP,1120876740,24.109.359/0001-60,140480290118,,BRAS,,3013001,Ativo / Inativo,calibrejeans23@gmail.com,,
3957,CERRADO COMERCIO DIGITAL LTDA,J,"R URUTAU,272",ARAPONGAS / PR,12982037065,23.592.071/0002-07,9104190305,,VILA CASCATA,,86701450,Ativo / Inativo,jader.pechoto@gmail.com,,
3958,D R LING INDUSTRIA E COMERCIO S/A,J,"ROD MENDEL STEINBRUCH,10520",MARACANAU / CE,85991996011,00.119.633/0001-13,69589712,,PAJUCARA,,61936450,Ativo / Inativo,helena.comoras@drling.com.br,,
3959,THAMIRES BALBINO RODRIGUES CONFECCOES,J,"R NOVE DE JULHO,513",BIRIGUI / SP,11966436996,37.800.151/0001-34,214295320118,,CENTRO,,16200060,Ativo / Inativo,thamires.rod96@yahoo.com.br,,
3960,FENIX CAMISARIA LTDA,J,"RUA FREI GASPAR,341",MANTENA / MG,2797914845,27.204.507/0001-13,47084650067,,VILA NOVA,GALPAO 02,35290000,Ativo / Ativo,phenix.camisaria@hotmail.com,,
3961,LEROY MERLIN COMPANHIA BRASILEIRA DE BRICOLAGEM,J,"AV BABITA CAMARGOS,1920",CONTAGEM / MG,1140205376,01.438.784/0005-20,1860558000030,,CIDADE INDUSTRIAL,,32210180,Ativo / Ativo,fiscal@leroymerlin.com.br,,
3962,FRIGELAR COMERCIO E INDUSTRIA LTDA,J,"R REPUBLICA ISLAMICA DO IRA,160",CURITIBA / PR,1132552525,92.660.406/0015-14,9046854451,,JARDIM DAS AMERICAS,,81540082,Ativo / Ativo,fiscal@frigelar.com.br,,
3963,WAGNER FELICIANO DE SOUZA,F,"R CAPETINGA,35",BELO HORIZONTE / MG,31993633193,112.803.416-61,MG17171321,,SALGADO FILHO,CASA,30550400,Ativo / Ativo,neisouzawa@hotmail.com,,
3964,18.193.150 ELIANE APARECIDA MARTINS DA COSTA ALMEIDA,J,"RUA AMAZONAS,129",JARAGUA / GO,62985539752,18.193.150/0001-24,105672262,,JARDIM ATLANTICO,QUADRA02                  LOTE  12                  SALA  01,76330000,Ativo / Ativo,lipomartins@hotmail.com,,
3965,LATINA CONFECCOES LTDA,J,"RUA SAO JOSE,0",BOM JESUS DO ITABAPOANA / RJ,2288452236,41.575.926/0001-92,12178743,,SERRINHA,,28360000,Ativo / Ativo,pilflores@hotmail.com,,
3966,FOX DESENVOLVIMENTO TEXTIL LTDA,J,"R JOSE POTRIKUS,251",CRICIUMA / SC,48998682033,31.231.868/0001-26,258782706,,LINHA BATISTA,PAVLH 02,88812844,Ativo / Ativo,fernando.comercial@fox.ind.br,,
